date,city_district,price,increase
2011-10,shanghai_fengxian,12780,0.0054
2011-09,shanghai_fengxian,12711,0.0285
2011-08,shanghai_fengxian,12359,0.0005
2011-07,shanghai_fengxian,12353,0.0088
2011-06,shanghai_fengxian,12245,0.0227
2011-05,shanghai_fengxian,11973,0.0147
2011-04,shanghai_fengxian,11799,0.0222
2011-02,shanghai_fengxian,11550,0.0056
2011-01,shanghai_fengxian,11486,0.0227
2011-03,shanghai_fengxian,11543,-0.0006
2011-09,shanghai_jinshan,9748,0.0065
2011-08,shanghai_jinshan,9685,0.0125
2011-07,shanghai_jinshan,9565,0.0505
2011-06,shanghai_jinshan,9105,0.0042
2011-05,shanghai_jinshan,9067,0.0752
2011-04,shanghai_jinshan,8433,0.0518
2011-03,shanghai_jinshan,8018,0.0105
2011-02,shanghai_jinshan,7935,0.0222
2011-01,shanghai_jinshan,7763,0.0724
2011-12,shanghai_jinshan,9014,-0.0184
2011-11,shanghai_jinshan,9183,-0.0362
2011-10,shanghai_jinshan,9528,-0.0226
2011-12,shanghai_chongming,6424,0.1009
2011-11,shanghai_chongming,5835,0.2339
2011-10,shanghai_chongming,4729,0.0176
2011-05,shanghai_chongming,7089,0.2269
2011-04,shanghai_chongming,5778,0.1352
2011-02,shanghai_chongming,5229,0.0081
2011-09,shanghai_chongming,4647,-0.0165
2011-08,shanghai_chongming,4725,-0.0335
2011-07,shanghai_chongming,4889,-0.2008
2011-06,shanghai_chongming,6117,-0.1371
2011-03,shanghai_chongming,5090,-0.0266
2011-01,shanghai_chongming,5187,-0.0456
2011-10,shanghai_shanghaizhoubian,7360,0.0044
2011-12,shanghai_shanghaizhoubian,7171,-0.0018
2011-11,shanghai_shanghaizhoubian,7184,-0.0239
